P_DES_new,Delta_P,frequency,Freq_delta_fact,P_DGU
15000.0,15000.0,50.77749574021889,-50,0
1542.373002243649,-3.6269977563511078,48.85939411483617,0.7774957402188889,1546.0
1296.7880803427126,2.7880803427125884,49.31832554902009,-0.6816744509799122,1294.0
1194.7880803427126,2.7880803427125884,49.31832554902009,-0.6816744509799122,1192.0
1193.1617590105975,1.1617590105976148,49.55996988538707,-0.44003011461293084,1192.0
1955.1617590105975,1.1617590105976148,49.55996988538707,-0.44003011461293084,1954.0
1954.0280328997337,0.028032899733792336,49.93164687311006,-0.06835312688993866,1954.0
1596.0280328997337,0.028032899733792336,49.93164687311006,-0.06835312688993866,1596.0
1596.0280328997337,0.028032899733792336,50.21965167775347,-0.06835312688993866,1596.0
1755.7105188427606,-0.2894811572394808,50.21965167775347,0.21965167775346828,1756.0
1735.0496650085001,-20.950334991499847,51.86861512853324,1.8686151285332429,1756.0
1129.0496650085001,-20.950334991499847,51.86861512853324,1.8686151285332429,1150.0
1149.5199082502336,-0.4800917497664841,50.28286974321717,0.2828697432171694,1150.0
1142.5199082502336,-0.4800917497664841,50.28286974321717,0.2828697432171694,1143.0
1144.5198412208833,1.5198412208834036,49.49670399351154,-0.503296006488462,1143.0
1078.5198412208833,1.5198412208834036,49.49670399351154,-0.503296006488462,1077.0
1076.6053252300742,-0.3946747699258977,50.25647442040286,0.25647442040285995,1077.0
1388.6053252300742,-0.3946747699258977,50.25647442040286,0.25647442040285995,1389.0
1385.373002243649,-3.6269977563511078,50.77749574021889,0.7774957402188889,1389.0
1542.373002243649,-3.6269977563511078,50.77749574021889,0.7774957402188889,1546.0
1553.8058907116222,7.805890711622174,48.85939411483617,-1.1406058851638292,1546.0
1301.8058907116222,7.805890711622174,48.85939411483617,-1.1406058851638292,1294.0
1301.8058907116222,7.805890711622174,50.01693390740856,-1.1406058851638292,1294.0
1344.9982794566793,-0.0017205433207294995,50.01693390740856,0.016933907408557047,1345.0
1344.9982794566793,-0.0017205433207294995,50.41680921408115,0.016933907408557047,1345.0
1114.9576204743423,-1.0423795256576662,50.41680921408115,0.4168092140811481,1116.0
1117.3743170191503,1.3743170191502765,49.521405352594655,-0.47859464740534463,1116.0
1393.3743170191503,1.3743170191502765,49.521405352594655,-0.47859464740534463,1392.0
1393.3743170191503,1.3743170191502765,48.70169785978538,-0.47859464740534463,1392.0
1222.1135306837152,10.113530683715233,48.70169785978538,-1.2983021402146235,1212.0
1211.8113196674133,-0.18868033258671077,50.17733223648786,0.17733223648785668,1212.0
1513.8113196674133,-0.18868033258671077,50.17733223648786,0.17733223648785668,1514.0
1513.8113196674133,-0.18868033258671077,49.39224444860203,0.17733223648785668,1514.0
1997.2162008615303,2.216200861530316,49.39224444860203,-0.6077555513979718,1995.0
2015.9430318871914,20.9430318871913,48.131710591334446,-1.8682894086655537,1995.0
1486.9430318871914,20.9430318871913,48.131710591334446,-1.8682894086655537,1466.0
1465.9222527223499,-0.0777472776502431,50.11383268251418,0.11383268251417888,1466.0
1695.9222527223499,-0.0777472776502431,50.11383268251418,0.11383268251417888,1696.0
1706.0505655182174,10.050565518217427,48.70574567683309,-1.2942543231669106,1696.0
1829.0505655182174,10.050565518217427,48.70574567683309,-1.2942543231669106,1819.0
1838.351483461835,19.35148346183493,48.20410266339104,-1.7958973366089594,1819.0
1283.351483461835,19.35148346183493,48.20410266339104,-1.7958973366089594,1264.0
